1,1,0
1213,1,0
1,2,0
1213,2,0
1,3,0
907,3,0
1,4,0
907,4,0
1,5,0
627,5,0
1,6,0
627,6,0
1,7,0
570,7,0
1,8,0
570,8,0
1,9,0
533,9,0
1,10,0
533,10,0
1,11,0
518,11,0
1,12,0
518,12,0
1,13,0
475,13,0
1,14,0
475,14,0
1,15,0
451,15,0
1,16,0
451,16,0
1,17,0
442,17,0
1,18,0
442,18,0
1,19,0
429,19,0
1,20,0
429,20,0
1,21,0
427,21,0
1,22,0
427,22,0
1,23,0
426,23,0
1,24,0
426,24,0
1,25,0
425,25,0
1,26,0
425,26,0
1,27,0
386,27,0
1,28,0
386,28,0
1,29,0
384,29,0
1,30,0
384,30,0
1,31,0
383,31,0
1,32,0
383,32,0
1,33,0
381,33,0
1,34,0
381,34,0
1,35,0
380,35,0
1,36,0
380,36,0
1,37,0
361,37,0
1,38,0
361,38,0
1,39,0
354,39,0
1,40,0
354,40,0
1,41,0
337,41,0
1,42,0
337,42,0
1,43,0
331,43,0
1,44,0
331,44,0
1,45,0
329,45,0
1,46,0
329,46,0
1,47,0
310,47,0
1,48,0
310,48,0
1,49,0
294,49,0
1,50,0
294,50,0
1,51,0
286,51,0
1,52,0
286,52,0
1,53,0
283,53,0
1,54,0
283,54,0
1,55,0
276,55,0
1,56,0
276,56,0
1,57,0
268,57,0
1,58,0
268,58,0
1,59,0
265,59,0
1,60,0
265,60,0
1,61,0
258,61,0
1,62,0
258,62,0
1,63,0
249,63,0
1,64,0
249,64,0
1,65,0
242,65,0
1,66,0
242,66,0
1,67,0
241,67,0
1,68,0
241,68,0
1,69,0
240,69,0
1,70,0
240,70,0
1,71,0
237,71,0
1,72,0
237,72,0
1,73,0
236,73,0
1,74,0
236,74,0
1,75,0
235,75,0
1,76,0
235,76,0
1,77,0
234,77,0
1,78,0
234,78,0
1,79,0
223,79,0
1,80,0
223,80,0
1,81,0
219,81,0
1,82,0
219,82,0
1,83,0
218,83,0
1,84,0
218,84,0
1,85,0
217,85,0
1,86,0
217,86,0
1,87,0
214,87,0
1,88,0
214,88,0
1,89,0
210,89,0
1,90,0
210,90,0
1,91,0
192,91,0
1,92,0
192,92,0
1,93,0
191,93,0
1,94,0
191,94,0
1,95,0
186,95,0
1,96,0
186,96,0
1,97,0
184,97,0
1,98,0
184,98,0
1,99,0
181,99,0
1,100,0
181,100,0
1,101,0
180,101,0
1,102,0
180,102,0
1,103,0
174,103,0
1,104,0
174,104,0
1,105,0
173,105,0
1,106,0
173,106,0
1,107,0
169,107,0
1,108,0
169,108,0
1,109,0
168,109,0
1,110,0
168,110,0
1,111,0
165,111,0
1,112,0
165,112,0
1,113,0
159,113,0
1,114,0
159,114,0
1,115,0
158,115,0
1,116,0
158,116,0
1,117,0
156,117,0
1,118,0
156,118,0
1,119,0
155,119,0
1,120,0
155,120,0
1,121,0
150,121,0
1,122,0
150,122,0
1,123,0
143,123,0
1,124,0
143,124,0
1,125,0
142,125,0
1,126,0
142,126,0
1,127,0
138,127,0
1,128,0
138,128,0
1,129,0
136,129,0
1,130,0
136,130,0
1,131,0
135,131,0
1,132,0
135,132,0
1,133,0
134,133,0
1,134,0
134,134,0
1,135,0
130,135,0
1,136,0
130,136,0
1,137,0
127,137,0
1,138,0
127,138,0
1,139,0
126,139,0
1,140,0
126,140,0
1,141,0
125,141,0
1,142,0
125,142,0
1,143,0
124,143,0
1,144,0
124,144,0
1,145,0
120,145,0
1,146,0
120,146,0
1,147,0
119,147,0
1,148,0
119,148,0
1,149,0
112,149,0
1,150,0
112,150,0
1,151,0
111,151,0
1,152,0
111,152,0
1,153,0
107,153,0
1,154,0
107,154,0
1,155,0
106,155,0
1,156,0
106,156,0
1,157,0
104,157,0
1,158,0
104,158,0
1,159,0
103,159,0
1,160,0
103,160,0
1,161,0
101,161,0
1,162,0
101,162,0
1,163,0
90,163,0
1,164,0
90,164,0
1,165,0
84,165,0
1,166,0
84,166,0
1,167,0
81,167,0
1,168,0
81,168,0
1,169,0
77,169,0
1,170,0
77,170,0
1,171,0
76,171,0
1,172,0
76,172,0
1,173,0
74,173,0
1,174,0
74,174,0
1,175,0
73,175,0
1,176,0
73,176,0
1,177,0
72,177,0
1,178,0
72,178,0
1,179,0
71,179,0
1,180,0
71,180,0
1,181,0
67,181,0
1,182,0
67,182,0
1,183,0
65,183,0
1,184,0
65,184,0
1,185,0
64,185,0
1,186,0
64,186,0
1,187,0
62,187,0
1,188,0
62,188,0
1,189,0
56,189,0
1,190,0
56,190,0
1,191,0
55,191,0
1,192,0
55,192,0
1,193,0
54,193,0
1,194,0
54,194,0
1,195,0
53,195,0
1,196,0
53,196,0
1,197,0
50,197,0
1,198,0
50,198,0
1,199,0
48,199,0
1,200,0
48,200,0
1,201,0
43,201,0
1,202,0
43,202,0
1,203,0
40,203,0
1,204,0
40,204,0
1,205,0
39,205,0
1,206,0
39,206,0
1,207,0
38,207,0
1,208,0
38,208,0
1,209,0
37,209,0
1,210,0
37,210,0
1,211,0
32,211,0
1,212,0
32,212,0
1,213,0
30,213,0
1,214,0
30,214,0
1,215,0
29,215,0
1,216,0
29,216,0
1,217,0
28,217,0
1,218,0
28,218,0
1,219,0
25,219,0
1,220,0
25,220,0
1,221,0
24,221,0
1,222,0
24,222,0
1,223,0
23,223,0
1,224,0
23,224,0
1,225,0
22,225,0
1,226,0
22,226,0
1,227,0
18,227,0
1,228,0
18,228,0
1,229,0
17,229,0
1,230,0
17,230,0
1,231,0
15,231,0
1,232,0
15,232,0
1,233,0
14,233,0
1,234,0
14,234,0
1,235,0
13,235,0
1,236,0
13,236,0
1,237,0
11,237,0
1,238,0
11,238,0
1,239,0
9,239,0
1,240,0
9,240,0
1,241,0
8,241,0
1,242,0
8,242,0
1,243,0
5,243,0
1,244,0
5,244,0
1,245,0
2,245,0
1,246,0
2,246,0
